,Name,Type,Level_x,Rarity,Damage,Health,Energy,Sanity,Timestamp,Level_y,Health_z_0,Health_z_1,Health_z_2,Health_z_3,Health_z_4,Health_z_5,Energy_z_0,Energy_z_1,Energy_z_2,Energy_z_3,Energy_z_4,Energy_z_5,Sanity_z_0,Sanity_z_1,Sanity_z_2,Sanity_z_3,Sanity_z_4,Sanity_z_5
0,Hell Hound,Demonic,2,Rank 1,2d4+3,8.46,7.82,9.7,2023-05-05 10:18:35,2,7.578301158982665,0.47932572730886297,2.3661671759266807,3.4929606110465667,4.304829593226033,4.583617804645295,6.906458334199314,0.18526307455215263,2.788252580112567,3.8666561766903147,4.643515367167522,5.07450644511121,9.89032706344935,1.7624720614855838,1.4583555459555086,3.0476277518554378,4.050433948564954,4.5263360959809
1,Wyvern,Dragon,10,Rank 3,10d8,76.09,83.98,81.89,2023-05-05 10:18:35,10,95.30648251285596,37.60622934473225,10.7546977007515,1.8113363380891334,8.919278645930195,12.951522381079464,115.67413723090893,45.26594454890937,15.995764801698414,1.8813314893921111,6.107480803121813,11.296892592886635,107.38813016787375,43.42938509154773,13.879740391724381,0.9142883255566315,7.12168532121469,12.062843959288958
2,Blue Faerie,Fey,10,Rank 0,10d2+1,19.3,20.55,20.97,2023-05-05 10:18:35,10,1.1894194644143181,21.569657728898793,27.20423843508925,28.11972269105128,30.103964313114464,29.70207933898206,0.9943853622538291,20.01870444466319,26.3149675324021,28.101798252351983,30.289597366293894,31.19033782239245,1.6830907458852384,19.729319605923926,24.7476595472363,28.55578828444865,31.078232519911484,31.34566878216703
3,Kobold Villager,Devilkin,8,Rank 5,8d12+1,100.0,97.54,95.83,2023-05-05 10:18:35,8,142.73033572971832,70.85684664565788,34.75725795146538,16.67726551693321,7.4607098669428655,1.1798244027401015,147.42214988759477,67.45634392304503,33.045462396836506,15.85423571713853,6.686967121520391,0.48298763445434456,138.51663324125644,66.17564216742639,30.327454679587806,15.397776403421995,6.225084408328467,0.05380958995222103
4,Faerie Dragon,Dragon,19,Rank 0,19d2+1,38.01,37.87,37.11,2023-05-05 10:18:35,19,0.016991706634486896,39.58605300100798,50.792385225612584,52.80670822986714,56.69766463383231,56.038709569147976,0.2350365401690912,39.2448946259644,50.782217445925774,53.94883489555814,57.99819316972045,59.630155155067634,1.5442791379771805,40.3191402771614,48.75345996892132,55.57808768423353,60.123383145252006,60.42183897634923
5,Djinni,Elemental,3,Rank 3,3d8+1,27.86,27.84,26.98,2023-05-05 10:18:35,3,37.14387070299574,16.526317467649026,6.590510834643242,1.7881734693156164,0.7982959557628868,2.4009426595761068,39.486138748406546,16.303150560589458,6.563733346485086,1.8151539998155022,0.8234805577242896,2.5592072059398934,36.40334417388902,15.530489106502387,5.693927305513245,1.4415763016713024,1.187602963559821,2.8550735374648752
6,Nightmare,Demonic,3,Rank 0,3d2,5.1,6.54,7.0,2023-05-05 10:18:35,3,1.5292535971041255,7.189885909632932,8.622473607190448,8.755564396389936,9.288583784343867,9.114143511167285,0.9763056283946674,5.619646594748638,7.644347982796656,8.253278342911113,8.943913835283258,9.239490721444762,1.7351450988507635,5.183741357310542,6.9747439154393875,8.223757425641656,9.044658331746984,9.179282991849378
7,Prismatic Faerie,Fey,10,Rank 2,10d6+2,61.64,60.44,60.59,2023-05-05 10:18:35,10,70.75346642601751,22.549149432529948,1.0961904430846776,8.505405413635938,14.309641524796415,17.213638035978082,73.11444372644509,21.037651354700028,0.29350027159079506,9.245940686560216,15.081893918320787,18.67970357668873,70.42953956235249,21.346646909404818,0.37409990091902384,9.38959597833556,15.497825428441244,18.804869053302465
8,Lich,Undead,3,Rank 1,3d4,13.43,12.22,12.42,2023-05-05 10:18:35,3,12.624838029426275,1.490077804460158,3.0546282468883996,4.896630458721779,6.181198124762164,6.657159192461023,11.245594460397836,0.22643264667485424,3.8555262949881905,5.568363051517348,6.778464961267533,7.458081783976797,11.1396315346219,0.4354342740140855,3.538097368013798,5.601830058172376,6.913264933570085,7.463706653372701
9,Hell Hound,Demonic,6,Rank 4,6d10+2,61.26,56.16,58.4,2023-05-05 10:18:35,6,83.7011468814991,38.82538391201783,16.884006458731065,6.142792798737066,0.4700247216173998,3.1678285213571735,79.84010472205279,33.10033598665132,13.447648807432858,3.857202249607941,1.463965435954294,4.967872811530382,80.51073258667542,35.66414053829653,14.203114882349297,5.0310045427454835,0.6291936230780516,4.3047671961776395
